,,,,,,,,,,,,,,,,,,,,,,,,,,
업종코드-10차 표준산업분류 연계표,,,,,,,,,,,,,,,,,,,,,,,,,,
일련번호,,,,,,,,,,,,,,,,,,,,,,,,세부설명,,
,"2021년 귀속
업종코드",대분류,대분류,중분류,중분류,소분류,소분류,세분류,세분류,세세분류,연계,"표준산업
분류",대분류,대분류,중분류,중분류,소분류,소분류,세분류,세분류,세세분류,연계,메인,,,
1,011000,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,곡물 및 기타 식량작물 재배업,곡물 및 기타 식량작물 재배업,1,01110,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0111,곡물 및 기타 식량작물 재배업,곡물 및 기타 식량작물 재배업,1,,,,
2,011001,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"채소, 화훼작물 및 종묘 재배업",채소작물 재배업,1,01121,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0112,"채소, 화훼작물 및 종묘 재배업",채소작물 재배업,1,,,,
3,011002,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"채소, 화훼작물 및 종묘 재배업",화훼작물 재배업,1,01122,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0112,"채소, 화훼작물 및 종묘 재배업",화훼작물 재배업,1,,,,
4,011003,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"채소, 화훼작물 및 종묘 재배업",종자 및 묘목 생산업,1,01123,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0112,"채소, 화훼작물 및 종묘 재배업",종자 및 묘목 생산업,1,,,,
5,011004,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"과실, 음료용 및 향신용 작물 재배업",과실작물 재배업,1,01131,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0113,"과실, 음료용 및 향신용 작물 재배업",과실작물 재배업,1,,,,
6,011005,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,"과실, 음료용 및 향신용 작물 재배업",음료용 및 향신용 작물 재배업,1,01132,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0113,"과실, 음료용 및 향신용 작물 재배업",음료용 및 향신용 작물 재배업,1,,,,
7,011006,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,기타 작물 재배업,기타 작물 재배업,1,01140,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0114,기타 작물 재배업,기타 작물 재배업,1,,,,
8,011007,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,시설작물 재배업,콩나물 재배업,1,01151,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0115,시설작물 재배업,콩나물 재배업,1,,,,
9,011008,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,시설작물 재배업,"채소, 화훼 및 과실작물 시설 재배업",1,01152,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0115,시설작물 재배업,"채소, 화훼 및 과실작물 시설 재배업",1,,,,
10,011009,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0110,시설작물 재배업,기타 시설작물 재배업,1,01159,A,"농업, 임업 및 어업",01,농업,011,작물 재배업,0115,시설작물 재배업,기타 시설작물 재배업,1,,,,
11,012101,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,소 사육업,육우 사육업,1,01212,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,소 사육업,육우 사육업,1,,,,
12,012102,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,기타 축산업,말 및 양 사육업,1,01291,A,"농업, 임업 및 어업",01,농업,012,축산업,0129,기타 축산업,말 및 양 사육업,1,,,,
13,012103,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,기타 축산업,"그 외 기타 축산업(사슴, 토끼, 개)",1,01299,A,"농업, 임업 및 어업",01,농업,012,축산업,0129,기타 축산업,그 외 기타 축산업,2,,"사슴, 토끼, 개",,
14,012104,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,소 사육업,젖소 사육업,1,01211,A,"농업, 임업 및 어업",01,농업,012,축산업,0121,소 사육업,젖소 사육업,1,,,,
15,012201,A,"농업, 임업 및 어업",01,농업,012,축산업,0122,양돈업,양돈업,1,01220,A,"농업, 임업 및 어업",01,농업,012,축산업,0122,양돈업,양돈업,1,,,,
16,012202,A,"농업, 임업 및 어업",01,농업,012,축산업,0122,가금류 및 조류 사육업,양계업,1,01231,A,"농업, 임업 및 어업",01,농업,012,축산업,0123,가금류 및 조류 사육업,양계업,1,,,,
17,012203,A,"농업, 임업 및 어업",01,농업,012,축산업,0122,가금류 및 조류 사육업,기타 가금류 및 조류 사육업,1,01239,A,"농업, 임업 및 어업",01,농업,012,축산업,0123,가금류 및 조류 사육업,기타 가금류 및 조류 사육업,1,,,,
18,012204,A,"농업, 임업 및 어업",01,농업,012,축산업,0122,기타 축산업,그 외 기타 축산업,1,01299,A,"농업, 임업 및 어업",01,농업,012,축산업,0129,기타 축산업,그 외 기타 축산업,2,1,,,
